0.8,0.01
0.7,0.01
0.8,0.02
0.8,0.02
0.8,0.01
0.7,0.01
0.8,0.001
0.6,0.03
0.8,0.01
0.9,0.01
0.9,0.02
0.01,0.02
0.9,0.01
0.8,0.01
0.8,0.01
0.9,0.02
0.6,0.002
0.5,0.01
0.8,0.01
0.9,0.01
0.8,0.01
0.8,0.02
0.3,0.015
0.3,0.01
0.4,0.02
0.8,0.02
0.9,0.02
0.2,0.01
0.5,0.02
0.2,0.001
0.8,0.004
0.4,0.01
0.9,0.003
0.5,0.01
0.8,0.001
0.8,0.01
0.8,0.02
0.9,0.01
0.6,0.001
0.6,0.009
0.8,0.02
0.9,0.006
0.5,0.003
0.9,0.01
0.9,0.02
0.2,0.005
0.2,0.01
0.5,0.004
0.5,0.006
0.8,0.001
0.8,0.002
0.2,0.003
0.8,0.001
0.8,0.001
0.3,0.004
0.02,0.01
0.7,0.01
0.8,0.02
0.1,0.004
0.3,0.02
0.5,0.005
0.5,0.01
0.5,0.004
0.8,0.01
0.8,0.02
0.3,0.01
0.7,0.001
0.3,0.002
0.9,0.02
0.1,0.08
0.8,0.009
0.8,0.004
0.4,0.04
0.9,0.02
0.5,0.01
